Point,Easting,Northing,Elevation
P216,300,200,45.81
P217,320,200,46.46
P218,340,200,47.11
P219,360,200,47.76
P220,380,200,48.41

P221,0,220,36.88
P222,20,220,37.52
P223,40,220,38.17
P224,60,220,38.82
P225,80,220,39.47
P226,100,220,40.12
P227,120,220,40.76
P228,140,220,41.41
P229,160,220,42.06
P230,180,220,42.71

P231,200,220,43.36
P232,220,220,44.01
P233,240,220,44.66
P234,260,220,45.30
P235,280,220,45.96
P236,300,220,46.61
P237,320,220,47.25
P238,340,220,47.90
P239,360,220,48.55
P240,380,220,49.20

P241,0,240,37.72
P242,20,240,38.38
P243,40,240,39.03
P244,60,240,39.68
P245,80,240,40.33
P246,100,240,40.98
P247,120,240,41.62
P248,140,240,42.28
P249,160,240,42.93
P250,180,240,43.58

P251,200,240,44.23
P252,220,240,44.88
P253,240,240,45.53
P254,260,240,46.18
P255,280,240,46.82
P256,300,240,47.47
P257,320,240,48.12
P258,340,240,48.77
P259,360,240,49.42
P260,380,240,50.07

P261,0,260,38.54
P262,20,260,39.20
P263,40,260,39.86
P264,60,260,40.50
P265,80,260,41.15
P266,100,260,41.81
P267,120,260,42.46
P268,140,260,43.11
P269,160,260,43.76
P270,180,260,44.41

P271,200,260,45.06
P272,220,260,45.71
P273,240,260,46.36
P274,260,260,47.01
P275,280,260,47.66
P276,300,260,48.31
P277,320,260,48.96
P278,340,260,49.61
P279,360,260,50.26
P280,380,260,50.91

P281,0,280,39.39
P282,20,280,40.04
P283,40,280,40.69
P284,60,280,41.35
P285,80,280,42.00
P286,100,280,42.65
P287,120,280,43.30
P288,140,280,43.96
P289,160,280,44.61
P290,180,280,45.26

P291,200,280,45.91
P292,220,280,46.56
P293,240,280,47.21
P294,260,280,47.86
P295,280,280,48.51
P296,300,280,49.16
P297,320,280,49.81
P298,340,280,50.46
P299,360,280,51.11
P300,380,280,51.76

P301,0,300,40.21
P302,20,300,40.87
P303,40,300,41.52
P304,60,300,42.17
P305,80,300,42.82
P306,100,300,43.47
P307,120,300,44.12
P308,140,300,44.77
P309,160,300,45.42
P310,180,300,46.07

P311,200,300,46.72
P312,220,300,47.37
P313,240,300,48.02
P314,260,300,48.67
P315,280,300,49.32
P316,300,300,49.97
P317,320,300,50.62
P318,340,300,51.27
P319,360,300,51.92
P320,380,300,52.57

P321,0,320,41.08
P322,20,320,41.73
P323,40,320,42.38
P324,60,320,43.04
P325,80,320,43.69
P326,100,320,44.34
P327,120,320,44.99
P328,140,320,45.64
P329,160,320,46.29
P330,180,320,46.94

P331,200,320,47.59
P332,220,320,48.24
P333,240,320,48.89
P334,260,320,49.54
P335,280,320,50.19
P336,300,320,50.84
P337,320,320,51.49
P338,340,320,52.14
P339,360,320,52.79
P340,380,320,53.44

P341,0,340,41.92
P342,20,340,42.57
P343,40,340,43.22
P344,60,340,43.87
P345,80,340,44.52
P346,100,340,45.17
P347,120,340,45.82
P348,140,340,46.47
P349,160,340,47.12
P350,180,340,47.77

P351,200,340,48.42
P352,220,340,49.07
P353,240,340,49.72
P354,260,340,50.37
P355,280,340,51.02
P356,300,340,51.67
P357,320,340,52.32
P358,340,340,52.97
P359,360,340,53.62
P360,380,340,54.27

P361,0,360,42.76
P362,20,360,43.41
P363,40,360,44.06
P364,60,360,44.72
P365,80,360,45.37
P366,100,360,46.02
P367,120,360,46.67
P368,140,360,47.32
P369,160,360,47.97
P370,180,360,48.62

P371,200,360,49.27
P372,220,360,49.92
P373,240,360,50.57
P374,260,360,51.22
P375,280,360,51.87
P376,300,360,52.52
P377,320,360,53.17
P378,340,360,53.82
P379,360,360,54.47
P380,380,360,55.12

P381,0,380,43.61
P382,20,380,44.26
P383,40,380,44.91
P384,60,380,45.56
P385,80,380,46.21
P386,100,380,46.86
P387,120,380,47.51
P388,140,380,48.16
P389,160,380,48.81
P390,180,380,49.46

P391,200,380,50.11
P392,220,380,50.76
P393,240,380,51.41
P394,260,380,52.06
P395,280,380,52.71
P396,300,380,53.36
P397,320,380,54.01
P398,340,380,54.66
P399,360,380,55.31
P400,380,380,55.96

P401,0,400,44.44
P402,20,400,45.10
P403,40,400,45.75
P404,60,400,46.40
P405,80,400,47.05
P406,100,400,47.70
P407,120,400,48.35
P408,140,400,49.00
P409,160,400,49.65
P410,180,400,50.30

P411,200,400,50.95
P412,220,400,51.60
P413,240,400,52.25
P414,260,400,52.90
P415,280,400,53.55
P416,300,400,54.20
P417,320,400,54.85
P418,340,400,55.50
P419,360,400,56.15
P420,380,400,56.80

P421,0,420,45.29
P422,20,420,45.94
P423,40,420,46.59
P424,60,420,47.24
P425,80,420,47.89
P426,100,420,48.54
P427,120,420,49.19
P428,140,420,49.84
P429,160,420,50.49
P430,180,420,51.14

P431,200,420,51.79
P432,220,420,52.44
P433,240,420,53.09
P434,260,420,53.74
P435,280,420,54.39
P436,300,420,55.04
P437,320,420,55.69
P438,340,420,56.34
P439,360,420,56.99
P440,380,420,57.64

P441,0,440,46.13
P442,20,440,46.78
P443,40,440,47.43
P444,60,440,48.08
P445,80,440,48.73
P446,100,440,49.38
P447,120,440,50.03
P448,140,440,50.68
P449,160,440,51.33
P450,180,440,51.98

P451,200,440,52.63
P452,220,440,53.28
P453,240,440,53.93
P454,260,440,54.58
P455,280,440,55.23
P456,300,440,55.88
P457,320,440,56.53
P458,340,440,57.18
P459,360,440,57.83
P460,380,440,58.48

P461,0,460,46.98
P462,20,460,47.63
P463,40,460,48.28
P464,60,460,48.93
P465,80,460,49.58
P466,100,460,50.23
P467,120,460,50.88
P468,140,460,51.53
P469,160,460,52.18
P470,180,460,52.83

P471,200,460,53.48
P472,220,460,54.13
P473,240,460,54.78
P474,260,460,55.43
P475,280,460,56.08
P476,300,460,56.73
P477,320,460,57.38
P478,340,460,58.03
P479,360,460,58.68
P480,380,460,59.33

P481,0,480,47.81
P482,20,480,48.46
P483,40,480,49.11
P484,60,480,49.76
P485,80,480,50.41
P486,100,480,51.06
P487,120,480,51.71
P488,140,480,52.36
P489,160,480,53.01
P490,180,480,53.66

P491,200,480,54.31
P492,220,480,54.96
P493,240,480,55.61
P494,260,480,56.26
P495,280,480,56.91
P496,300,480,57.56
P497,320,480,58.21
P498,340,480,58.86
P499,360,480,59.51
P500,380,480,60.16

P501,400,0,36.62
P502,420,0,37.04
P503,440,0,37.51
P504,460,0,37.92
P505,480,0,38.36
P506,500,0,38.81
P507,520,0,39.24
P508,540,0,39.70
P509,560,0,40.13
P510,580,0,40.56

P511,400,20,38.55
P512,420,20,38.98
P513,440,20,39.44
P514,460,20,39.88
P515,480,20,40.32
P516,500,20,40.77
P517,520,20,41.21
P518,540,20,41.65
P519,560,20,42.09
P520,580,20,42.53

P521,400,40,40.28
P522,420,40,40.73
P523,440,40,41.18
P524,460,40,41.63
P525,480,40,42.07
P526,500,40,42.52
P527,520,40,42.97
P528,540,40,43.42
P529,560,40,43.86
P530,580,40,44.31

P531,400,60,41.86
P532,420,60,42.31
P533,440,60,42.76
P534,460,60,43.22
P535,480,60,43.67
P536,500,60,44.12
P537,520,60,44.57
P538,540,60,45.02
P539,560,60,45.47
P540,580,60,45.92

P541,400,80,43.58
P542,420,80,44.03
P543,440,80,44.48
P544,460,80,44.93
P545,480,80,45.39
P546,500,80,45.84
P547,520,80,46.29
P548,540,80,46.74
P549,560,80,47.19
P550,580,80,47.65

P551,400,100,44.32
P552,420,100,44.78
P553,440,100,45.24
P554,460,100,45.70
P555,480,100,46.16
P556,500,100,46.62
P557,520,100,47.08
P558,540,100,47.54
P559,560,100,48.00
P560,580,100,48.46

P561,400,120,45.34
P562,420,120,45.80
P563,440,120,46.27
P564,460,120,46.73
P565,480,120,47.20
P566,500,120,47.66
P567,520,120,48.13
P568,540,120,48.60
P569,560,120,49.06
P570,580,120,49.53

P571,400,140,46.42
P572,420,140,46.89
P573,440,140,47.36
P574,460,140,47.83
P575,480,140,48.30
P576,500,140,48.77
P577,520,140,49.24
P578,540,140,49.71
P579,560,140,50.18
P580,580,140,50.65

P581,400,160,47.56
P582,420,160,48.03
P583,440,160,48.50
P584,460,160,48.98
P585,480,160,49.45
P586,500,160,49.92
P587,520,160,50.40
P588,540,160,50.87
P589,560,160,51.35
P590,580,160,51.82

P591,400,180,48.69
P592,420,180,49.17
P593,440,180,49.65
P594,460,180,50.13
P595,480,180,50.61
P596,500,180,51.09
P597,520,180,51.57
P598,540,180,52.05
P599,560,180,52.53
P600,580,180,53.01

P601,400,200,49.84
P602,420,200,50.32
P603,440,200,50.81
P604,460,200,51.29
P605,480,200,51.78
P606,500,200,52.26
P607,520,200,52.75
P608,540,200,53.24
P609,560,200,53.72
P610,580,200,54.21

P611,400,220,50.96
P612,420,220,51.45
P613,440,220,51.94
P614,460,220,52.43
P615,480,220,52.92
P616,500,220,53.41
P617,520,220,53.90
P618,540,220,54.39
P619,560,220,54.88
P620,580,220,55.37

P621,400,240,52.08
P622,420,240,52.57
P623,440,240,53.06
P624,460,240,53.55
P625,480,240,54.04
